,Country,City,Lat,Lng,Hotel Name
230,US,portland,45.52,-122.68,DoubleTree by Hilton Hotel Portland
231,AO,namibe,-15.2,12.15,Hotel ibis Styles Iu Namibe
232,IN,yanam,16.73,82.22,The Regency Hotel
233,GB,haverfordwest,51.8,-4.97,County Hotel
234,CN,yumen,40.28,97.2,
235,EC,puerto baquerizo moreno,-0.9,-89.6,Chatham
236,CA,port hardy,50.7,-127.42,Pier Side Landing
237,PE,pangoa,-12.12,-73.0,
238,BR,manaus,-3.1,-60.02,Hotel Novotel Manaus
239,MX,celestun,20.87,-90.4,Ria Celestun
240,CD,ilebo,-4.32,20.58,
241,CA,matagami,49.75,-77.63,Hôtel Matagami
242,RU,malysheva,57.12,61.4,Esmeral'd-Otel'
243,GL,narsaq,60.92,-46.05,Hotel Narsaq
244,SB,kirakira,-10.45,161.92,
245,AR,mar del plata,-38.0,-57.56,Sheraton Mar del Plata Hotel
246,ES,carballo,43.21,-8.69,Pazo do Souto
247,NG,yaan,7.38,8.57,
248,ID,srandakan,-7.94,110.25,
249,LK,batticaloa,7.71,81.69,Naval Beach Villa
250,RU,ossora,59.24,163.07,Ossora
251,JM,morant bay,17.88,-76.41,Golden Shore Resort
252,BB,bathsheba,13.22,-59.52,Atlantis Hotel
253,RU,leningradskiy,69.38,178.42,
254,BR,barbacena,-21.23,-43.77,Hotel Senac Grogotó
255,MX,tecoanapa,16.52,-98.75,Hotel Garapacho
256,AU,broken hill,-31.95,141.43,Comfort Inn Crystal
257,US,ukiah,39.15,-123.21,Best Western Orchard Inn
258,VN,ho chi minh city,10.75,106.67,Phuc Khanh Hotel
259,BR,touros,-5.2,-35.46,Bugaendrus Paradise
260,EC,machala,-3.27,-79.97,"Hotel ""Veuxor"""
261,NZ,otane,-39.88,176.63,Ludlow Farmstay
262,US,laguna,38.42,-121.42,
263,US,kailua,21.4,-157.74,
264,ID,bengkulu,-3.8,102.27,Mercure Bengkulu
265,RU,alakurtti,66.97,30.35,
266,ES,teruel,40.67,-0.67,La Parra
267,CN,hami,42.8,93.45,哈密环球大酒店
268,EG,aswan,24.09,32.91,Mövenpick Resort Aswan
269,GL,qaqortoq,60.72,-46.03,Hotel Qaqortoq
270,CA,sioux lookout,50.1,-91.92,Sunset Inn & Suites
271,NZ,tuatapere,-46.13,167.68,Last Light Lodge
272,MG,beloha,-25.17,45.05,
273,US,ruidoso,33.33,-105.67,Whispering Pine Cabins
274,RU,parabel,58.7,81.48,Levkada
275,US,glen allen,37.67,-77.51,Courtyard by Marriott Richmond North/Glen Allen
276,EC,puerto ayora,-0.74,-90.35,Hotel Solymar Galapagos
